ADM_RATE,SAT_AVG,C150_4,UGDS_WOMEN,STUFACR
0.716,954.0,0.2807,0.594,18.0
0.8854,1266.0,0.6245,0.621,19.0
0.7367,1300.0,0.6072,0.4047,19.0
0.9799,955.0,0.2843,0.6495,13.0
0.789,1244.0,0.7223,0.5615,19.0
0.968,1069.0,0.3569,0.6686,15.0
0.646,1042.0,0.1851,0.5713,13.0
0.7634,1030.0,0.4966,0.6077,19.0
0.7433,1017.0,0.3914,0.6957,14.0
0.9009,1131.0,0.517,0.6392,12.0
0.8387,1236.0,0.7891,0.667,12.0
0.7078,1132.0,0.4741,0.6129,17.0
0.7152,1019.0,0.5639,0.5854,11.0
0.9527,1082.0,0.5183,0.6501,16.0
0.342,1080.0,0.5697,0.6264,9.0
0.6469,1169.0,0.3845,0.5908,12.0
0.8727,1230.0,0.6434,0.5602,17.0
0.7376,1240.0,0.699,0.2667,17.0
0.5769,1119.0,0.3988,0.6416,11.0
0.8267,1188.0,0.6968,0.5608,19.0
0.6753,902.0,0.4075,0.5912,14.0
0.6329,1149.0,0.5384,0.6272,14.0
0.9237,1133.0,0.494,0.6157,15.0
0.5414,1183.0,0.6717,0.5582,16.0
0.7501,1084.0,0.372,0.5274,14.0
0.683,1286.0,0.7289,0.5113,11.0
0.5287,1231.0,0.7039,0.5981,15.0
0.641,1100.0,0.3175,0.5143,17.0
0.626,1094.0,0.4008,0.5556,15.0
0.941,1117.0,0.7151,0.6828,10.0
0.6077,1228.0,0.6994,0.62,13.0
0.8194,1200.0,0.7378,0.5328,14.0
0.6037,1318.0,0.799,0.6037,12.0
0.8138,1174.0,0.6796,0.6025,15.0
0.1124,1487.0,0.9271,0.5078,8.0
0.9293,1160.0,0.7738,0.6879,10.0
0.7786,1100.0,0.6768,0.7279,11.0
0.7194,1028.0,0.6936,0.6034,13.0
0.6607,1023.0,0.449,0.5866,16.0
0.4582,1354.0,0.7877,0.5358,11.0
0.7981,1395.0,0.6403,0.9954,8.0
0.7982,1237.0,0.6859,0.6969,9.0
0.3997,1090.0,0.4196,0.5557,13.0
0.793,1265.0,0.6949,0.5255,13.0
0.5271,1342.0,0.8295,0.5766,13.0
0.8366,1256.0,0.7274,0.6571,15.0
0.8297,1231.0,0.6941,0.5917,11.0
0.7092,1305.0,0.7561,0.6453,13.0
0.5398,1418.0,0.9087,0.4732,11.0
0.2954,1456.0,0.8231,1.0,10.0
0.6901,1098.0,0.6146,0.6846,17.0
0.6486,1295.0,0.7419,0.3968,15.0
0.1251,1484.0,0.9201,0.5163,9.0
0.8249,1232.0,0.636,0.5625,11.0
0.9983,1040.0,0.287,0.436,11.0
0.7205,1156.0,0.4804,0.5652,17.0
0.7958,1292.0,0.7404,0.4516,18.0
0.5688,1399.0,0.8325,0.3158,16.0
0.8964,1205.0,0.6912,0.5418,17.0
0.6363,1324.0,0.7569,0.5507,10.0
0.9275,1057.0,0.4406,0.539,14.0
0.8024,1088.0,0.3809,0.5412,18.0
0.8882,1037.0,0.2976,0.5526,19.0
0.9113,1104.0,0.519,0.6762,14.0
0.8137,1174.0,0.6202,0.6338,10.0
0.9917,1046.0,0.3856,0.5278,15.0
0.9087,1143.0,0.4763,0.4094,18.0
0.7314,1040.0,0.4412,0.7126,11.0
0.7483,1067.0,0.5473,0.4649,14.0
0.556,1337.0,0.8308,0.5241,15.0
0.5581,1315.0,0.8394,0.5814,12.0
0.7879,1185.0,0.5855,0.5487,8.0
0.9413,1200.0,0.661,0.5646,16.0
0.7825,1109.0,0.564,0.7687,8.0
0.3775,1409.0,0.8515,0.4951,9.0
0.1944,1426.0,0.9102,0.5615,8.0
0.0531,1526.0,0.9692,0.5143,6.0
0.7235,1260.0,0.8228,0.5833,15.0
0.6409,1381.0,0.787,0.6326,12.0
0.6169,941.0,0.5787,0.5431,6.0
0.4971,1419.0,0.8366,0.6316,12.0
0.1198,1488.0,0.952,0.5724,11.0
0.3525,1181.0,0.6358,0.7217,13.0
1.0,1015.0,0.5641,0.4881,9.0
0.9984,910.0,0.3248,0.6236,15.0
0.8301,1121.0,0.502,0.4996,18.0
0.3637,1271.0,0.7494,0.5503,30.0
0.723,1240.0,0.622,0.2471,18.0
0.3529,1068.0,0.5537,0.6605,14.0
0.7801,1119.0,0.5545,0.5802,21.0
0.7404,1102.0,0.579,0.6697,15.0
0.6588,1254.0,0.663,0.297,14.0
0.6401,1155.0,0.6708,0.5664,24.0
0.6088,1268.0,0.6773,0.6392,14.0
0.3707,1280.0,0.8322,0.5713,22.0
0.3013,1396.0,0.9089,0.5635,17.0
0.7762,1135.0,0.4784,0.6106,13.0
0.2849,1402.0,0.8351,0.5347,13.0
0.7749,1113.0,0.6712,0.5708,19.0
0.925,1187.0,0.6051,0.7212,17.0
0.8986,1139.0,0.6081,0.6464,12.0
0.7066,1063.0,0.4625,0.6103,16.0
0.4938,1245.0,0.7463,0.5684,22.0
0.7086,971.0,0.4124,0.4808,10.0
0.9164,1207.0,0.6327,0.5676,12.0
0.4492,1112.0,0.5143,0.5904,26.0
0.5355,1184.0,0.6212,0.6081,18.0
0.4301,990.0,0.1786,0.437,15.0
0.5313,975.0,0.402,0.4777,13.0
0.5281,1164.0,0.5201,0.5758,21.0
0.4656,1004.0,0.2895,0.5214,12.0
0.5824,970.0,0.4155,0.7636,18.0
0.699,1267.0,0.7243,0.6364,12.0
0.8911,1107.0,0.4712,0.9282,9.0
0.7852,1043.0,0.4272,0.6041,16.0
0.8854,1222.0,0.7287,0.5321,11.0
0.1305,1480.0,0.9004,0.5786,9.0
0.7226,921.0,0.4488,0.6281,21.0
0.1596,1423.0,0.9192,0.4011,14.0
0.8558,1082.0,0.3396,0.6566,16.0
0.8768,1176.0,0.6209,0.6422,16.0
0.9051,1091.0,0.5362,0.5751,22.0
0.9999,1165.0,0.5629,0.6038,27.0
0.3998,1386.0,0.8784,0.5795,17.0
0.9591,997.0,0.4022,0.5154,14.0
0.7541,1338.0,0.7358,0.6438,13.0
0.67,1129.0,0.4796,0.6678,9.0
0.812,1072.0,0.3716,0.5554,15.0
0.2884,1012.0,0.4787,0.5683,12.0
0.6882,1110.0,0.3527,0.5239,17.0
0.7637,1044.0,0.4099,0.6715,19.0
0.6216,1134.0,0.563,1.0,9.0
0.697,1058.0,0.4234,0.6482,19.0
0.9217,1040.0,0.427,0.6498,13.0
0.6998,1175.0,0.5891,0.6021,14.0
0.8532,1183.0,0.4249,0.668,18.0
0.8138,1119.0,0.5925,0.5088,16.0
0.5629,1181.0,0.5606,0.5081,12.0
0.8815,1112.0,0.6255,0.5776,14.0
0.8642,1062.0,0.5536,0.6634,20.0
0.7586,1205.0,0.7576,0.5047,12.0
0.0648,1535.0,0.959,0.4767,5.0
0.7174,1036.0,0.5074,0.6131,14.0
0.7129,1145.0,0.6841,0.6188,13.0
0.5205,951.0,0.1576,0.6353,10.0
0.7954,1008.0,0.4846,0.4529,11.0
0.788,1212.0,0.6226,0.5318,19.0
0.8002,1168.0,0.4665,0.4986,13.0
0.5966,1422.0,0.8488,0.4615,21.0
0.6611,1328.0,0.7143,0.3219,12.0
0.9154,1125.0,0.6727,0.5703,19.0
0.624,1054.0,0.669,0.5374,11.0
0.6443,1271.0,0.7303,0.5836,12.0
