ADM_RATE,SAT_AVG,UGDS,COSTT4_A,C150_4,UGDS_WOMEN,STUFACR,MD_EARN_WNE_1YR,STATE
0.716,954.0,5098.0,21924.0,0.2807,0.594,18.0,30999.0,Alabama
0.8854,1266.0,13284.0,26248.0,0.6245,0.621,19.0,45270.0,Alabama
0.7367,1300.0,7358.0,24869.0,0.6072,0.4047,19.0,57386.0,Alabama
0.9799,955.0,3495.0,21938.0,0.2843,0.6495,13.0,27282.0,Alabama
0.789,1244.0,30725.0,31050.0,0.7223,0.5615,19.0,44620.0,Alabama
0.968,1069.0,3742.0,20621.0,0.3569,0.6686,15.0,40933.0,Alabama
0.646,1042.0,1696.0,36457.0,0.1851,0.5713,13.0,38931.0,Alabama
0.7634,1030.0,6992.0,22023.0,0.4966,0.6077,19.0,40595.0,Alabama
0.7433,1017.0,2310.0,22525.0,0.3914,0.6957,14.0,50786.0,Alabama
0.9009,1131.0,2184.0,26709.0,0.517,0.6392,12.0,28055.0,Alabama
0.8387,1236.0,3604.0,51314.0,0.7891,0.667,12.0,45287.0,Alabama
0.7078,1132.0,8631.0,22139.0,0.4741,0.6129,17.0,41542.0,Alabama
0.9527,1082.0,10916.0,21376.0,0.5183,0.6501,16.0,39144.0,Alabama
0.342,1080.0,2184.0,41991.0,0.5697,0.6264,9.0,43055.0,Alabama
0.6469,1169.0,4108.0,19621.0,0.3845,0.5908,12.0,46661.0,Alaska
0.8727,1230.0,36560.0,27985.0,0.6434,0.5602,17.0,41742.0,Arizona
0.7376,1240.0,3015.0,56260.0,0.699,0.2667,17.0,62466.0,Arizona
0.5769,1119.0,5025.0,20260.0,0.3988,0.6416,11.0,40746.0,Arkansas
0.8267,1188.0,24001.0,23843.0,0.6968,0.5608,19.0,45161.0,Arkansas
0.6753,902.0,2444.0,18873.0,0.4075,0.5912,14.0,30111.0,Arkansas
0.6329,1149.0,7478.0,21752.0,0.5384,0.6272,14.0,41818.0,Arkansas
0.9237,1133.0,7763.0,21408.0,0.494,0.6157,15.0,35529.0,Arkansas
0.5414,1183.0,3262.0,33168.0,0.6717,0.5582,16.0,37508.0,Arkansas
0.7501,1084.0,2205.0,25533.0,0.372,0.5274,14.0,34869.0,Arkansas
0.683,1286.0,1103.0,55218.0,0.7289,0.5113,11.0,25952.0,Arkansas
0.5287,1231.0,1381.0,41492.0,0.7039,0.5981,15.0,41829.0,Arkansas
